Employee ID,Age,Age_Group,Gender,Work Arrangement,Department,Job Title,Salary ($),Retirement Plan,Contribution (%),Retirement Savings ($),Health Insurance,Dental Insurance,Life Insurance,PTO Allocated (Days),Marital Status
E00001,58,51 - 60,Male,Hybrid,HR,HR Manager,65795,Safe Harbor,7,12209.18,None,None,None,19,Married
E00002,40,31 - 40,Male,Hybrid,Sales,Sales Manager,104886,401(k),4,10085.63,Standard,Premium,Standard,22,Single
E00003,30,20 - 30,Male,WFH,Finance,Accountant,94131,Roth,10,69399.52,None,Premium,Standard,17,Single
E00004,21,20 - 30,Female,On-site,Finance,Accountant,109735,Roth,6,62199.82,None,Premium,Standard,13,Single
E00005,40,31 - 40,Female,On-site,Marketing,Marketing Manager,133104,401(k),6,51949.52,Premium,None,Standard,24,Single
E00006,63,61 - 70,Female,On-site,IT,IT Support,143016,Roth,0,0.0,Premium,None,Standard,22,Single
E00007,61,51 - 60,Male,On-site,Finance,Financial Analyst,68431,Simple,6,40088.79,None,Standard,None,25,Married
E00008,66,61 - 70,Female,WFH,IT,Network Engineer,85773,None,0,0.0,Standard,Standard,None,14,Divorced
E00009,63,61 - 70,Male,Hybrid,IT,IT Support,106886,401(k),6,40606.4,None,Premium,None,14,Married
E00010,56,51 - 60,Male,Hybrid,IT,Systems Administrator,53890,Safe Harbor,9,12293.63,Standard,Premium,Standard,18,Married
E00011,37,31 - 40,Female,On-site,HR,HR Coordinator,60627,None,0,0.0,Premium,Premium,Standard,20,Divorced
E00012,33,31 - 40,Female,On-site,HR,Recruiter,123969,401(k),4,18553.32,Standard,Premium,Standard,16,Married
E00013,21,20 - 30,Female,WFH,HR,HR Coordinator,73483,Safe Harbor,9,42921.22,None,Premium,Standard,19,Divorced
E00014,66,61 - 70,Female,Hybrid,Finance,Financial Analyst,130077,401(k),0,0.0,None,None,Standard,15,Divorced
E00015,69,61 - 70,Female,On-site,Marketing,Brand Strategist,119479,Simple,6,27279.92,None,None,None,17,Single
E00016,61,51 - 60,Female,Hybrid,Sales,Sales Associate,102995,401(k),8,10561.68,Premium,None,Standard,13,Married
E00017,45,41 - 50,Female,On-site,Engineering,Software Engineer,121211,Simple,4,22091.2,Premium,None,None,15,Single
E00018,33,31 - 40,Male,On-site,HR,HR Coordinator,82606,None,0,0.0,Standard,Standard,Standard,19,Divorced
E00019,33,31 - 40,Male,WFH,Sales,Sales Associate,141387,Safe Harbor,0,0.0,Standard,None,Standard,25,Married
E00020,59,51 - 60,Female,WFH,Finance,Accountant,139812,None,0,0.0,Premium,Standard,Standard,24,Single
E00021,37,31 - 40,Male,Hybrid,Sales,Sales Associate,132798,401(k),7,58385.07,Premium,None,Standard,20,Single
E00022,64,61 - 70,Female,Hybrid,Sales,Sales Associate,88044,Safe Harbor,9,19710.08,Standard,None,None,20,Divorced
E00023,26,20 - 30,Female,Hybrid,HR,Recruiter,52568,Safe Harbor,10,23939.12,None,Premium,Standard,19,Married
